mf,order,rmse_mean,mae_mean,r2_mean,ndei_mean,rmse_std,mae_std,r2_std,ndei_std,n_rules,active_rules,dead_rules,effective_rules,firing_entropy,mean_max_activation,n_params,seconds,rmse_reduction_vs_linear,rmse_reduction_vs_mlp,pvalue_vs_linear,pvalue_vs_mlp,significant_vs_linear_bh
trapezoidal,1,0.0082837181242584,0.0052517296894839,0.9985730630692436,0.036932857931234,0.0017382769395201,0.0004809016837821,0.0005922047848062,0.0079310110192716,24,24.0,0.0,22.361832685472223,3.107176780700684,0.9258687615394592,504,1.80586051940918,0.914055893401772,-0.6726709679189604,1.0644210992486153e-06,0.9981152842066624,True
trapezoidal,0,0.0472304420308561,0.0373610951313258,0.9554402046530912,0.2105984556985258,0.0015813439666478,0.0017694271309155,0.0061979365753855,0.014425179524184,32,32.0,0.0,29.06559884058432,3.3694875240325928,0.8992403507232666,544,1.707390546798706,0.5099811360439436,-8.53689973535457,1.0920384262872688e-05,0.9999994530214692,True
trapezoidal,1,0.0130044609806884,0.0060353702703633,0.9952842339958554,0.0590779369869948,0.0069789975512626,0.0010173790401195,0.0058977898943555,0.0350080471535515,32,32.0,0.0,29.01883031370574,3.367669630050659,0.8919272303581238,672,2.165032863616944,0.8650778836252555,-1.6258962472578822,1.1753273660157165e-05,0.9539470416316632,True
trapezoidal,0,0.0431869097097664,0.0339080218837305,0.9628065928620672,0.1924458865265747,0.0019921594661138,0.0017398053679249,0.0048293956379728,0.0125693236466226,48,47.6,0.4,41.51521131351304,3.725822973251343,0.8924908876419068,816,1.8117451667785645,0.5519330431011651,-7.720418655255754,8.112721025580432e-06,0.9999998579181084,True
trapezoidal,1,0.0122744701012393,0.0054476151159526,0.996687842712373,0.0546358262671343,0.0041810253225984,0.0006366796096358,0.0020384288787923,0.0180854575760314,48,47.6,0.4,41.99409490434597,3.7374878883361817,0.8917578935623169,1008,2.438987970352173,0.8726515857983627,-1.4784944969104967,1.4694274290219756e-06,0.9880607243300172,True
trapezoidal,0,0.043263863835543,0.0342959412937362,0.9628019643633886,0.1925595058692563,0.0024989784952133,0.002098728706097,0.0043024662759967,0.0109028590745394,64,63.0,1.0,52.74193442488494,3.964784574508667,0.8771441459655762,1088,1.751572608947754,0.5511346391127978,-7.735957442321817,3.268488168307845e-06,0.9999987333689936,True
trapezoidal,1,0.0099103519881918,0.0056064684093662,0.9980149056254148,0.0442632324310256,0.0007566285130472,0.0004697329428267,0.0004728147197522,0.0050853347325626,64,62.8,1.2,53.01380354630635,3.9702880859375,0.8784992814064025,1344,2.449369192123413,0.8971794627819538,-1.0011253164158511,1.7946083753259726e-07,0.9991530296233738,True
trapezoidal,0,0.0494060704026887,0.0334466970031866,0.9502800006074634,0.2199376263069491,0.0084876896842983,0.0045824645741178,0.015785761121005,0.0367074914288799,128,123.6,4.4,95.91038363287922,4.563092136383057,0.792007052898407,2176,4.269383668899536,0.4874088522093044,-8.976208552960058,0.0001974278348488,0.9997636674799464,True
trapezoidal,1,0.0241176709789759,0.0116863567775814,0.9882726509183096,0.1070710533560553,0.004105046863274,0.0010099747263525,0.0038265984756755,0.0162215478581717,128,125.2,2.8,95.09344370242658,4.55475082397461,0.797252106666565,2688,4.979139089584351,0.7497776174387094,-3.86990593538163,7.602675231122005e-07,0.9995150471705356,True
trapezoidal,0,0.1560425493420671,0.0613682470633459,0.3524680488001611,0.6875102491823041,0.099081732236989,0.0130190863386801,0.7973561422570187,0.4181645710352862,256,243.6,12.4,160.81361294744383,5.0801128387451175,0.7472188472747803,4352,5.3215813636779785,-0.6189514531211038,-30.508537365629152,0.8544825259510517,0.98090155757831,False
trapezoidal,1,0.0379540509133804,0.0209990217464795,0.9711956526217352,0.1683784555922159,0.0056299982480217,0.0018930940439886,0.0073347246580452,0.0212848084474602,256,241.0,15.0,159.98734139335474,5.074938869476318,0.7528621435165406,5376,19.6228985786438,0.6062242885858526,-6.663785527880033,1.1177823918098728e-05,0.999852539207803,True
triangular,0,0.0780650134255984,0.0620457661565804,0.879258403956795,0.3471548795095739,0.0048474547301378,0.0046900318629888,0.0103454086513731,0.0150028555914566,4,4.0,0.0,3.70427952419661,1.308766770362854,0.9138200402259826,52,1.0215468406677246,0.1900704810567994,-14.763100531488826,0.0016827209515436,0.9999951499135198,True
triangular,1,0.0204275452959197,0.0156372857477364,0.9917235809822352,0.0906507463697727,0.0023226077424615,0.0016885659453158,0.0014246834587603,0.007672105341304,4,4.0,0.0,3.8041916277175742,1.3357314109802243,0.963274109363556,68,0.9227850437164308,0.7880629079698661,-3.1247856879960016,1.54397798766735e-06,0.9997843487315096,True
triangular,0,0.0492616945803103,0.0386951739174408,0.951652299275298,0.2192722255189731,0.003779704572766,0.0032237154803436,0.0072611687055106,0.0163521203719418,8,8.0,0.0,7.457912733973023,2.008739876747131,0.8703745007514954,104,1.269852876663208,0.4889067606222378,-8.947055792938617,3.1551298021529504e-06,0.9999866394702066,True
triangular,1,0.0092218840625859,0.0069644708917559,0.9982949245641846,0.0410469015450061,0.0010164689710165,0.0006304546887273,0.0003683456283317,0.0044974781122159,8,8.0,0.0,7.478299940730875,2.0117282629013062,0.9154540181159974,136,1.3482706546783447,0.9043223616469525,-0.8621079942146035,9.718249577258525e-08,0.9994822679965631,True
triangular,0,0.0462013065842573,0.0348798261010509,0.9559110141100476,0.2067222893801969,0.0068180199588195,0.0047807205741744,0.0147206494679995,0.0368087077111174,16,16.0,0.0,14.673441666467124,2.6849390983581545,0.8867279171943665,208,1.2680187225341797,0.5206584822790221,-8.32909389771494,0.0001844491799867,0.9999002703964496,True
triangular,1,0.008624991032033,0.0059763347458651,0.9985128897457232,0.0384027441992334,0.0007822521965317,0.0003934850669792,0.0002665461758425,0.0035127613418889,16,16.0,0.0,14.882200985797711,2.699955177307129,0.9118848204612732,272,1.2628684043884275,0.910515165105022,-0.7415817247082424,1.5029509692544386e-07,0.9984347768104952,True
triangular,0,0.0425056660676408,0.0339037330293373,0.963503389668086,0.1894441359468764,0.0050982052496729,0.0045972710791205,0.0095871122994668,0.0246481173166511,24,24.0,0.0,21.61567153721906,3.072864532470703,0.8931249260902405,312,1.632290601730347,0.5590009895619157,-7.582860080088173,1.2788305299593522e-05,0.9998972916109464,True
triangular,1,0.0067263764192762,0.0045877876544729,0.9990940608663664,0.0299708848403112,0.0005418102622906,0.0002344521428683,0.0001662483647512,0.0027722185199733,24,24.0,0.0,22.2523250282412,3.1023136615753173,0.915895402431488,408,1.5757622718811035,0.930213413430236,-0.3582082812390801,9.736947972183685e-08,0.9648357445269324,True
triangular,0,0.041401076148308,0.031741695727459,0.9655392226996624,0.1846642308046181,0.0033965546662594,0.0038334986498676,0.0069245016711499,0.0189710084517494,32,32.0,0.0,28.26812713027873,3.3410685539245604,0.8901588439941406,416,1.9559564590454104,0.5704611807889036,-7.359818269417033,2.968498953935959e-05,0.9999893202425696,True
